Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/07/2023,12/08/2023,NYTimes*NYTimes disc,Bills & Utilities,Sale,-4.00,
12/07/2023,12/08/2023,SQ *DEGTHAI STREET FOOD,Food & Drink,Sale,-52.25,
12/06/2023,12/07/2023,Amazon Prime*604TA80G3,Bills & Utilities,Sale,-16.41,
12/05/2023,12/06/2023,APPLE.COM/BILL,Shopping,Sale,-10.94,
12/05/2023,12/06/2023,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,4.83,
12/05/2023,12/06/2023,LAZ PARKING 820180-FLOWB,Travel,Sale,-4.83,
12/05/2023,12/06/2023,5.11  INC.,Shopping,Sale,-100.46,
12/04/2023,12/05/2023,IROQUOIS FAMILY DENTISTRY,Health & Wellness,Sale,-15.00,
12/02/2023,12/04/2023,FAHRENHEIT YOGA,Health & Wellness,Sale,-79.00,
12/03/2023,12/04/2023,5.11  INC.,Shopping,Return,81.94,
12/03/2023,12/04/2023,5.11  INC.,Shopping,Sale,-81.94,
12/03/2023,12/04/2023,1069 GREAT CLIPS AT MELRO,Personal,Sale,-27.00,
12/04/2023,12/04/2023,AMZN Mktp US*HM2N450U3,Shopping,Sale,-42.21,
12/02/2023,12/04/2023,TRADER JOE S #739,Groceries,Sale,-126.94,
12/01/2023,12/03/2023,WALGREENS #5395,Health & Wellness,Sale,-32.75,
12/01/2023,12/03/2023,ASAHI JAPANESE RESTAURANT,Food & Drink,Sale,-53.48,
12/02/2023,12/03/2023,EB ECSTATIC DANCE NAS,Personal,Sale,-26.38,
11/30/2023,12/01/2023,SQ *TAZIKIS MEDITERRANEAN,Food & Drink,Sale,-10.82,
11/29/2023,11/30/2023,NES11747290292315,Bills & Utilities,Sale,-90.28,
11/29/2023,11/30/2023,LLBEAN-DIRECT,Shopping,Sale,-87.51,
11/29/2023,11/30/2023,PAYMENTUS CORP,Shopping,Sale,-2.25,
11/29/2023,11/30/2023,NES11747290292314,Bills & Utilities,Sale,-99.72,
11/29/2023,11/30/2023,PAYMENTUS CORP,Shopping,Sale,-2.25,
11/28/2023,11/29/2023,HOS CORP AMER,Food & Drink,Sale,-6.19,
11/28/2023,11/29/2023,SP ALO-YOGA,Shopping,Sale,-51.35,
11/28/2023,11/28/2023,METRO WATER SERVICES,Bills & Utilities,Sale,-16.58,
11/28/2023,11/28/2023,ICI* FEE METROWATERSVC,Bills & Utilities,Sale,-1.95,
11/23/2023,11/26/2023,BLACK DIAMOND,Shopping,Sale,-65.51,
11/24/2023,11/26/2023,MARTINS BBQ JOINT,Food & Drink,Sale,-41.81,
11/24/2023,11/26/2023,VIOC 040045,Automotive,Sale,-122.34,
11/24/2023,11/26/2023,WHOOP,Shopping,Sale,-227.23,
11/24/2023,11/24/2023,AUTOMATIC PAYMENT - THANK,,Payment,1262.86,
11/22/2023,11/24/2023,TRADER JOE S #739,Groceries,Sale,-72.24,
11/22/2023,11/24/2023,TRADER JOE S #739,Groceries,Sale,-21.23,
11/22/2023,11/23/2023,KROGER 843,Groceries,Sale,-7.10,
11/18/2023,11/20/2023,TRADER JOE S #739,Groceries,Sale,-54.46,
