Transaction_Date,Post_Date,Year,Month,Account_Name,Transaction_Type,Amount,NWS,Category,Cat2,Description,Labels,outliers,Notes
2024-01-04,2024-01-05,2024,1,Chase - Credit Card,debit,-13.38,need,food & drink,food,tst* five points pizza -,,0,
2024-01-04,2024-01-05,2024,1,Chase - Credit Card,debit,-4.0,need,bills & utilities,utilities,nytimes*nytimes disc,,0,
2024-01-03,2024-01-04,2024,1,Chase - Credit Card,debit,-26.42,want,shopping,discretionary,amzn mktp us*tk8yp4pm0,,0,
2024-01-03,2024-01-04,2024,1,Chase - Credit Card,debit,-10.94,want,shopping,discretionary,apple.com/bill,,0,
2024-01-02,2024-01-03,2024,1,Chase - Credit Card,debit,-79.0,need,health & wellness,investment,fahrenheit yoga,subscription - fitness,0,
2024-01-02,2024-01-03,2024,1,Chase - Credit Card,debit,-4.36,want,restaurants,food,hos corp amer,,0,
2024-01-01,2024-01-02,2024,1,Chase - Credit Card,debit,-10.0,need,bills & utilities,utilities,recreation.gov,,0,
2023-12-31,2024-01-02,2023,12,Chase - Credit Card,debit,-42.37,need,gas,auto,shell oil 57527387005,,0,
2023-12-31,2024-01-01,2023,12,Chase - Credit Card,debit,-12.0,need,food & drink,food,sq *cheekwood,,0,
2023-12-31,2024-01-01,2023,12,Chase - Credit Card,debit,-52.17,need,food & drink,food,tst* penne pazze - charlo,,0,
2023-12-30,2024-01-01,2023,12,Chase - Credit Card,debit,-113.24,need,groceries,food,trader joe s #739,,0,
2024-01-01,2024-01-01,2024,1,Chase - Credit Card,debit,-56.0,want,gifts & donations,discretionary,cheekwood,,0,
2023-12-28,2023-12-31,2023,12,Chase - Credit Card,debit,-19.87,need,food & drink,food,tst* hyderabad house,,0,
2023-12-30,2023-12-31,2023,12,Chase - Credit Card,debit,-3.93,want,shopping,discretionary,prime video *9230j4wr3,,0,
2023-12-27,2023-12-29,2023,12,Chase - Credit Card,debit,-22.33,need,food & drink,food,blaze pizza brentwood 105,,0,
2023-12-27,2023-12-28,2023,12,Chase - Credit Card,debit,-17.2,want,shopping,discretionary,amzn mktp us*ot0sd1hx3,,0,
2023-12-27,2023-12-28,2023,12,Chase - Credit Card,debit,-6.06,want,shopping,discretionary,amzn mktp us*u16ct2r93,,0,
2023-12-27,2023-12-28,2023,12,Chase - Credit Card,debit,-7.63,want,shopping,discretionary,amzn mktp us*x76d77df3,,0,
2023-12-26,2023-12-27,2023,12,Chase - Credit Card,debit,-43.66,want,shopping,discretionary,walgreens #5166,,0,
2023-12-27,2023-12-27,2023,12,Chase - Credit Card,debit,-28.27,need,bills & utilities,utilities,metro water services,,0,
2023-12-27,2023-12-27,2023,12,Chase - Credit Card,debit,-1.95,need,bills & utilities,utilities,ici* fee metrowatersvc,,0,
2023-12-26,2023-12-27,2023,12,Chase - Credit Card,debit,-2.25,want,shopping,discretionary,paymentus corp,,0,
2023-12-26,2023-12-27,2023,12,Chase - Credit Card,debit,-2.25,want,shopping,discretionary,paymentus corp,,0,
2023-12-26,2023-12-27,2023,12,Chase - Credit Card,debit,-90.0,need,bills & utilities,utilities,nes11747290292315,,0,
2023-12-26,2023-12-27,2023,12,Chase - Credit Card,debit,-105.0,need,bills & utilities,utilities,nes11747290292314,,0,
2023-12-25,2023-12-26,2023,12,Chase - Credit Card,debit,-500.0,want,gifts & donations,discretionary,corp charity giving,,0,
2023-12-24,2023-12-26,2023,12,Chase - Credit Card,debit,-7.56,need,food & drink,food,tst* franklin juice - cha,,0,
2023-12-24,2023-12-24,2023,12,Chase - Credit Card,credit,2125.34,,nan,,automatic payment - thank,,0,
2023-12-22,2023-12-24,2023,12,Chase - Credit Card,debit,-82.61,need,groceries,food,trader joe s #739,,0,
2023-12-23,2023-12-24,2023,12,Chase - Credit Card,debit,-36.46,need,gas,auto,bp#6608731belle mead exp,,0,
2023-12-21,2023-12-24,2023,12,Chase - Credit Card,debit,-21.72,want,shopping,discretionary,cumberland transit,,0,
2023-12-23,2023-12-24,2023,12,Chase - Credit Card,debit,-2.18,want,shopping,discretionary,prime video *9k3nf9jp3,,0,
2023-12-22,2023-12-24,2023,12,Chase - Credit Card,debit,-43.69,want,shopping,discretionary,amzn mktp us*cc0zm9be3,,0,
2023-12-21,2023-12-24,2023,12,Chase - Credit Card,debit,-54.23,need,food & drink,food,tst* hyderabad house,,0,
2023-12-19,2023-12-21,2023,12,Chase - Credit Card,debit,-17.47,need,food & drink,food,tst* five points pizza -,,0,
2023-12-17,2023-12-19,2023,12,Chase - Credit Card,debit,-19.06,need,food & drink,food,tazikis green hills,,0,
2023-12-18,2023-12-19,2023,12,Chase - Credit Card,debit,-98.18,want,shopping,discretionary,amazon.com*m27g737r3,,0,
2023-12-16,2023-12-18,2023,12,Chase - Credit Card,debit,-84.12,want,shopping,discretionary,llbean-direct,,0,
2023-12-18,2023-12-18,2023,12,Chase - Credit Card,debit,-85.0,need,groceries,food,nespresso usa inc,,0,
2023-12-15,2023-12-17,2023,12,Chase - Credit Card,debit,-17.41,need,food & drink,food,mcalisters 102435,,0,
2023-12-15,2023-12-17,2023,12,Chase - Credit Card,debit,-63.96,need,groceries,food,trader joe s #739,,0,
2023-12-12,2023-12-14,2023,12,Chase - Credit Card,debit,-100.0,want,gifts & donations,discretionary,pb *the ensworth,,0,
2023-12-11,2023-12-12,2023,12,Chase - Credit Card,debit,-2.99,want,shopping,discretionary,apple.com/bill,,0,
2023-12-10,2023-12-12,2023,12,Chase - Credit Card,debit,-40.73,need,groceries,food,trader joe s #739,,0,
2023-12-12,2023-12-12,2023,12,Chase - Credit Card,debit,-121.23,want,shopping,discretionary,pendleton-usa,,0,
2023-12-10,2023-12-11,2023,12,Chase - Credit Card,debit,-35.95,want,shopping,discretionary,walmart.com,,0,
2023-12-10,2023-12-11,2023,12,Chase - Credit Card,debit,-120.16,need,home,utilities,www.nutribullet.com,,0,
2023-12-09,2023-12-10,2023,12,Chase - Credit Card,debit,-17.51,want,shopping,discretionary,prime video *ii0l71ot3,,0,
2023-12-07,2023-12-10,2023,12,Chase - Credit Card,debit,-48.48,need,gas,auto,shell oil 57527387005,,0,
2023-12-07,2023-12-08,2023,12,Chase - Credit Card,debit,-4.0,need,bills & utilities,utilities,nytimes*nytimes disc,,0,
2023-12-07,2023-12-08,2023,12,Chase - Credit Card,debit,-52.25,need,food & drink,food,sq *degthai street food,,0,
2023-12-06,2023-12-07,2023,12,Chase - Credit Card,debit,-16.41,need,bills & utilities,utilities,amazon prime*604ta80g3,subscription - shopping,0,
2023-12-05,2023-12-06,2023,12,Chase - Credit Card,debit,-10.94,want,shopping,discretionary,apple.com/bill,,0,
2023-12-05,2023-12-06,2023,12,Chase - Credit Card,credit,4.83,need,fees & adjustments,bills,travel credit $300/year,,0,
