Transaction_Date,Post_Date,Year,Month,Account_Name,Transaction_Type,Amount,NWS,Category,Cat2,Description,Labels,outliers,Notes
2024-01-07,2024-01-07,2024,1,checking,debit,-6.08,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2024-01-05,2024-01-05,2024,1,checking,debit,-3.0,want,charity,discretionary, www.samharris.or 5815               ca httpswww.samh   www.samharris.org  us,subscription - media,0,nan
2024-01-05,2024-01-05,2024,1,checking,debit,-102.68,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,subscription - fitness,0,nan
2024-01-04,2024-01-04,2024,1,checking,credit,232.72,need,transfer,transfer,ach trans - mobile deposit  010424check dep,,0,nan
2024-01-03,2024-01-03,2024,1,checking,debit,-675.0,need,rent,,ach trans - alliant cu      ;010224;xfer,,0,nan
2024-01-03,2024-01-03,2024,1,checking,debit,-85.69,need,bills & utilities,utilities,ach trans - usaa p&c        ;010324;autopay,,0,nan
2024-01-03,2024-01-03,2024,1,checking,debit,-12.03,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2024-01-01,2024-01-01,2024,1,checking,debit,-0.02,want,electronics & software,discretionary, google *cloud 6s 5817               ca g.co/helppay#   google *cloud 6sqz2us,,0,nan
2024-01-01,2024-01-01,2024,1,checking,debit,-8.46,want,entertainment,discretionary, patreon* members 5815               ca internet        patreon* membershipus,subscription - media,0,nan
2023-12-31,2023-12-31,2023,12,savings,credit,20.69,need,investments,investment,dividend,,0,nan
2023-12-31,2023-12-31,2023,12,checking,debit,-5.86,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-12-30,2023-12-30,2023,12,checking,debit,-16.37,need,books,investment, audible*ke4pp5uu 5968               nj amzn.com/bill   audible*ke4pp5uu3  us,,0,nan
2023-12-28,2023-12-28,2023,12,checking,credit,5046.04,need,paycheck,income,ach trans - hca corporate   ;122923;pr payment,,0,nan
2023-12-27,2023-12-27,2023,12,checking,debit,-17.51,want,entertainment,discretionary, help.max.com     5815               ny max.com         help.max.com       us,,0,nan
2023-12-26,2023-12-26,2023,12,checking,debit,-2125.34,need,credit card payment,bills,ach trans - chase credit crd;122623;autopay,chase credit card payment,0,nan
2023-12-25,2023-12-25,2023,12,checking,debit,-16.41,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-12-22,2023-12-22,2023,12,checking,debit,-250.0,need,investments,investment,p2p w/d - coinbase         6051               ca https://www.f   coinbase           us,,0,nan
2023-12-21,2023-12-21,2023,12,savings,debit,-25.0,need,fees & charges,bills,jrnl entry - ira closing fee,,0,nan
2023-12-21,2023-12-21,2023,12,savings,debit,-37939.29,,transfer to vanguard,,w/d check - withdrawal by check,,1,nan
2023-12-18,2023-12-18,2023,12,checking,debit,-70.77,need,utilities,utilities,ach trans - select rwds pymt;121823;payment,,0,nan
2023-12-17,2023-12-17,2023,12,checking,debit,-31.39,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-12-16,2023-12-16,2023,12,checking,debit,-6.49,need,parking,auto, metropolis parki 7523               tn httpswww.metr   metropolis parking us,,0,nan
2023-12-14,2023-12-14,2023,12,checking,debit,-0.01,want,electronics & software,discretionary, google *cloud hg 7399               ca g.co/helppay#   google *cloud hgfv8us,,0,nan
2023-12-10,2023-12-10,2023,12,checking,debit,-36.05,want,electronics & software,discretionary, lucid software i 4816               ut 844-4658243     lucid software inc.us,subscription - productivity,0,nan
2023-12-05,2023-12-05,2023,12,checking,debit,-3.0,want,charity,discretionary, www.samharris.or 5815               ca httpswww.samh   www.samharris.org  us,subscription - media,0,nan
2023-12-05,2023-12-05,2023,12,checking,debit,-92.86,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,subscription - fitness,0,nan
2023-12-04,2023-12-04,2023,12,checking,debit,-113.92,need,bills & utilities,utilities,ach trans - usaa p&c        ;120423;autopay,,0,nan
2023-12-04,2023-12-04,2023,12,checking,debit,-675.0,need,rent,,ach trans - alliant cu      ;120123;xfer,,0,nan
2023-12-04,2023-12-04,2023,12,checking,debit,-5.86,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-12-03,2023-12-03,2023,12,checking,debit,-12.03,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-12-01,2023-12-01,2023,12,checking,debit,-16.37,need,books,investment, audible*q01rv10q 5968               nj amzn.com/bill   audible*q01rv10q3  us,,0,nan
2023-12-01,2023-12-01,2023,12,checking,debit,-8.46,want,entertainment,discretionary, patreon* members 5815               ca internet        patreon* membershipus,subscription - media,0,nan
2023-11-30,2023-11-30,2023,11,savings,credit,19.9,need,investments,investment,dividend,,0,nan
2023-11-30,2023-11-30,2023,11,savings,credit,31.02,need,investments,investment,dividend,,0,nan
2023-11-29,2023-11-29,2023,11,checking,credit,4991.99,need,paycheck,income,ach trans - hca corporate   ;113023;pr payment,,0,nan
2023-11-27,2023-11-27,2023,11,checking,debit,-1262.86,need,credit card payment,bills,ach trans - chase credit crd;112723;autopay,chase credit card payment,0,nan
2023-11-27,2023-11-27,2023,11,checking,debit,-17.51,want,entertainment,discretionary, help.max.com     5815               ny max.com         help.max.com       us,,0,nan
2023-11-27,2023-11-27,2023,11,checking,credit,993.17,need,transfer,transfer,ach trans - venmo           112723cashout,,0,nan
2023-11-25,2023-11-25,2023,11,checking,debit,-16.41,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-11-19,2023-11-19,2023,11,checking,debit,-6.1,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-11-10,2023-11-10,2023,11,checking,debit,-36.05,want,electronics & software,discretionary, lucid software i 5817               ut 844-4658243     lucid software inc.us,subscription - productivity,0,nan
2023-11-05,2023-11-05,2023,11,checking,debit,-3.0,want,uncategorized,uncategorized, www.samharris.or 5815               ca httpswww.samh   www.samharris.org  us,subscription - media,0,nan
2023-11-05,2023-11-05,2023,11,checking,debit,-92.86,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,subscription - fitness,0,nan
2023-11-03,2023-11-03,2023,11,checking,debit,-12.03,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-11-02,2023-11-02,2023,11,savings,credit,4000.0,need,transfer,transfer,transfer - self service transfer from share 75,,0,nan
2023-11-02,2023-11-02,2023,11,checking,debit,-675.0,need,rent,,ach trans - alliant cu      ;110123;xfer,,0,nan
2023-11-02,2023-11-02,2023,11,checking,debit,-4000.0,need,transfer,transfer,transfer - self service transfer to share 01,,0,nan
2023-11-02,2023-11-02,2023,11,checking,debit,-103.48,need,bills & utilities,utilities,ach trans - usaa p&c        ;110223;autopay,,0,nan
2023-11-01,2023-11-01,2023,11,checking,debit,-8.46,want,entertainment,discretionary, patreon* members 5815               ca internet        patreon* membershipus,subscription - media,0,nan
2023-11-01,2023-11-01,2023,11,checking,credit,45.0,need,transfer,transfer,transfer - self service transfer               from tbcrozier share 75,,0,nan
2023-10-31,2023-10-31,2023,10,savings,credit,32.03,need,investments,investment,dividend,,0,nan
2023-10-31,2023-10-31,2023,10,savings,credit,17.28,need,investments,investment,dividend,,0,nan
2023-10-30,2023-10-30,2023,10,checking,debit,-48.27,want,movies & dvds,entertainment, fandango         7832               ca fandango.com    fandango           us,,0,nan
2023-10-30,2023-10-30,2023,10,checking,credit,4645.42,need,paycheck,income,ach trans - hca corporate   ;103123;pr payment,,0,nan
2023-10-30,2023-10-30,2023,10,checking,debit,-16.37,need,books,investment, audible*5u77h00x 5968               nj amzn.com/bill   audible*5u77h00x3  us,,0,nan
2023-10-28,2023-10-28,2023,10,checking,debit,-0.01,want,electronics & software,discretionary, google *cloud xv 7372               ca g.co/helppay#   google *cloud xv2gqus,,0,nan
2023-10-28,2023-10-28,2023,10,checking,debit,-17.51,want,entertainment,discretionary, help.max.com     5815               ny max.com         help.max.com       us,,0,nan
2023-10-25,2023-10-25,2023,10,checking,debit,-16.41,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-10-25,2023-10-25,2023,10,checking,debit,-169.0,need,groceries,food, butcherbox llc  5499               ma httpswww.butc   butcherbox  llc    us,,0,nan
2023-10-25,2023-10-25,2023,10,checking,debit,-3425.99,need,credit card payment,bills,ach trans - chase credit crd;102523;autopay,chase credit card payment,0,nan
2023-10-20,2023-10-20,2023,10,checking,debit,-5.86,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-10-18,2023-10-18,2023,10,checking,credit,221.31,need,transfer,transfer,ach trans - mobile deposit  101823check dep,,0,nan
2023-10-10,2023-10-10,2023,10,checking,debit,-36.05,want,electronics & software,discretionary, lucid software i 4816               ut 844-4658243     lucid software inc.us,subscription - productivity,0,nan
2023-10-05,2023-10-05,2023,10,checking,debit,-95.91,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,subscription - fitness,0,nan
2023-10-05,2023-10-05,2023,10,checking,debit,-3.0,want,charity,discretionary, www.samharris.or 5815               ca httpswww.samh   www.samharris.org  us,subscription - media,0,nan
2023-10-04,2023-10-04,2023,10,checking,debit,-12.03,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-10-03,2023-10-03,2023,10,checking,debit,-103.49,need,bills & utilities,utilities,ach trans - usaa p&c        ;100323;autopay,,0,nan
2023-10-03,2023-10-03,2023,10,checking,debit,-675.0,need,rent,,ach trans - alliant cu      ;100223;xfer,,0,nan
2023-10-01,2023-10-01,2023,10,checking,debit,-16.37,need,books,investment, audible*t96kb083 5968               nj amzn.com/bill   audible*t96kb0832  us,,0,nan
2023-10-01,2023-10-01,2023,10,checking,debit,-8.46,want,entertainment,discretionary, patreon* members 5815               ca internet        patreon* membershipus,subscription - media,0,nan
2023-09-30,2023-09-30,2023,9,savings,credit,13.95,need,investments,investment,dividend,,0,nan
2023-09-30,2023-09-30,2023,9,savings,credit,30.97,need,investments,investment,dividend,,0,nan
2023-09-30,2023-09-30,2023,9,checking,debit,-3.05,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-09-30,2023-09-30,2023,9,checking,debit,-3500.0,need,transfer,transfer,transfer - self service transfer to share 01,,0,nan
2023-09-30,2023-09-30,2023,9,savings,credit,3500.0,need,transfer,transfer,transfer - self service transfer from share 75,,0,nan
2023-09-28,2023-09-28,2023,9,checking,credit,4508.0,need,paycheck,income,ach trans - hca corporate   ;092923;pr payment,,0,nan
2023-09-28,2023-09-28,2023,9,checking,debit,-17.51,want,entertainment,discretionary, help.max.com     5815               ny max.com         help.max.com       us,,0,nan
2023-09-25,2023-09-25,2023,9,checking,debit,-169.0,need,groceries,food, butcherbox llc  5499               ma httpswww.butc   butcherbox  llc    us,,0,nan
2023-09-25,2023-09-25,2023,9,checking,debit,-16.41,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-09-18,2023-09-18,2023,9,checking,debit,-5.86,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-09-14,2023-09-14,2023,9,checking,debit,-290.0,want,venmo payment,bills,ach trans - venmo           ;091423;payment,,0,nan
2023-09-11,2023-09-11,2023,9,checking,credit,94.0,need,income,discretionary,ach trans - card rewards poi;091123;p2c         zz*               *zz*               *230911,,0,nan
2023-09-10,2023-09-10,2023,9,checking,debit,-36.05,want,electronics & software,discretionary, lucid software i 4816               ut 844-4658243     lucid software inc.us,subscription - productivity,0,nan
2023-09-06,2023-09-06,2023,9,checking,debit,-16.41,need,gift,discretionary, amazon prime*tl0 5968               wa amzn.com/bill   amazon prime*tl04z7us,subscription - shopping,0,nan
2023-09-05,2023-09-05,2023,9,checking,debit,-675.0,need,rent,,ach trans - alliant cu      ;090123;xfer,,0,nan
2023-09-05,2023-09-05,2023,9,checking,debit,-103.49,need,bills & utilities,utilities,ach trans - usaa p&c        ;090523;autopay,,0,nan
2023-09-05,2023-09-05,2023,9,checking,debit,-92.86,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,subscription - fitness,0,nan
2023-09-05,2023-09-05,2023,9,checking,debit,-3.0,want,charity,discretionary, www.samharris.or 5815               ca httpswww.samh   www.samharris.org  us,subscription - media,0,nan
2023-09-04,2023-09-04,2023,9,checking,debit,-12.03,need,music,discretionary, spotify usa      4899               ny 877-7781161     spotify usa        us,subscription - media,0,nan
2023-09-01,2023-09-01,2023,9,checking,debit,-0.44,need,transfer,transfer,ach trans - jpmorgan chase  ;090123;acctverify,,0,nan
2023-09-01,2023-09-01,2023,9,checking,debit,-8.46,want,entertainment,discretionary, patreon* members 5815               ca internet        patreon* membershipus,subscription - media,0,nan
2023-09-01,2023-09-01,2023,9,checking,debit,-29.49,need,gym,investment, climb nashville  7999               tn httpstheclimb   climb nashville easus,,0,nan
2023-08-31,2023-08-31,2023,8,savings,credit,14.3,need,investments,investment,dividend,,0,nan
2023-08-31,2023-08-31,2023,8,checking,credit,0.14,need,income,discretionary,ach trans - jpmorgan chase  ;090123;acctverify,,0,nan
2023-08-31,2023-08-31,2023,8,checking,credit,0.3,need,income,discretionary,ach trans - jpmorgan chase  ;090123;acctverify,,0,nan
2023-08-31,2023-08-31,2023,8,savings,credit,31.98,need,investments,investment,dividend,,0,nan
2023-08-30,2023-08-30,2023,8,checking,credit,4645.41,need,paycheck,income,ach trans - hca corporate   ;083123;pr payment,,0,nan
2023-08-30,2023-08-30,2023,8,checking,debit,-12.47,want,restaurants,food, hos corp amer    5814               tn nashville       hos corp amer      us,,0,nan
