Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/14/2023,11/16/2023,BAJA BURRITO,Food & Drink,Sale,-21.70,
11/14/2023,11/15/2023,Amazon.com*C11DK1EI3,Shopping,Sale,-16.72,
11/14/2023,11/15/2023,AMZN Mktp US*WP8D95SG3,Shopping,Sale,-20.75,
11/13/2023,11/13/2023,AXS.COMOPRY RYMAN TIX,Entertainment,Sale,-162.50,
11/11/2023,11/13/2023,TRADER JOE S #739,Groceries,Sale,-127.77,
11/12/2023,11/13/2023,NESPRESSO USA INC,Groceries,Sale,-133.88,
11/11/2023,11/12/2023,NYTimes*NYTimes disc,Bills & Utilities,Sale,-4.00,
11/10/2023,11/12/2023,THE AMSTERDAM LOCAL CO,Food & Drink,Sale,-10.09,
11/11/2023,11/12/2023,APPLE.COM/BILL,Shopping,Sale,-2.48,
11/11/2023,11/12/2023,Amazon.com*QN5Z60AR3,Shopping,Sale,-19.65,
11/10/2023,11/12/2023,SQ *ANDVINYL RECORDS INC,Shopping,Sale,-23.00,
11/08/2023,11/10/2023,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,5.93,
11/08/2023,11/10/2023,LAZGO NASHVILLE 820180,Travel,Sale,-5.93,
11/09/2023,11/10/2023,AMZN Mktp US*IE72M7943,Shopping,Sale,-24.67,
11/08/2023,11/10/2023,San Antonio Taco Co,Food & Drink,Sale,-29.13,
11/08/2023,11/10/2023,San Antonio Taco Co,Food & Drink,Sale,-27.10,
11/09/2023,11/09/2023,AMZN Mktp US*Q06YX61D3,Shopping,Sale,-60.03,
11/08/2023,11/09/2023,THE PICNIC INC,Food & Drink,Sale,-18.97,
11/07/2023,11/08/2023,HOS CORP AMER,Food & Drink,Sale,-6.36,
11/07/2023,11/08/2023,AMZN Mktp US*VC5KS5JM3,Shopping,Sale,-43.65,
11/07/2023,11/08/2023,Amazon.com*LG7W34263,Shopping,Sale,-18.23,
11/07/2023,11/07/2023,Amazon.com*2H7ZF1553,Shopping,Sale,-16.38,
11/06/2023,11/07/2023,Amazon.com*HC04Z1N93,Shopping,Sale,-19.67,
11/06/2023,11/07/2023,Amazon Prime*GQ58L9UU3,Bills & Utilities,Sale,-16.41,
11/05/2023,11/06/2023,NES11747290292315,Bills & Utilities,Sale,-68.21,
11/05/2023,11/06/2023,NES11747290292314,Bills & Utilities,Sale,-82.95,
11/04/2023,11/06/2023,TRADER JOE S #739,Groceries,Sale,-127.51,
11/05/2023,11/06/2023,PAYMENTUS CORP,Shopping,Sale,-2.25,
11/05/2023,11/06/2023,PAYMENTUS CORP,Shopping,Sale,-2.25,
11/04/2023,11/06/2023,BLVD   *SCOUT'S BARBERSHO,Personal,Sale,-63.45,
11/04/2023,11/05/2023,SQ *WHITE BRIDGE AUTO WAS,Automotive,Sale,-17.00,
11/04/2023,11/05/2023,WALGREENS #5395,Health & Wellness,Sale,-32.63,
11/04/2023,11/05/2023,Prime Video *O115C51M3,Shopping,Sale,-3.16,
11/03/2023,11/05/2023,TST* Pastaria - Nashville,Food & Drink,Sale,-88.95,
11/03/2023,11/03/2023,APPLE.COM/BILL,Shopping,Sale,-7.65,
11/02/2023,11/03/2023,FAHRENHEIT YOGA,Health & Wellness,Sale,-79.00,
11/01/2023,11/02/2023,Kindle Svcs*462WU6HJ3,Shopping,Sale,-29.55,
11/01/2023,11/02/2023,HOS CORP AMER,Food & Drink,Sale,-5.12,
10/30/2023,10/31/2023,WALGREENS #5395,Health & Wellness,Sale,-7.09,
10/30/2023,10/31/2023,AMZN Mktp US*UO7FL3QC3,Shopping,Sale,-21.84,
10/29/2023,10/31/2023,SHELL OIL 57542930805,Gas,Sale,-43.39,
10/30/2023,10/30/2023,AMZN Mktp US*9C03R3OQ3,Shopping,Sale,-17.48,
10/29/2023,10/30/2023,AMZN Mktp US*QQ3VT4TF3,Shopping,Sale,-9.82,
10/28/2023,10/29/2023,AMZN Mktp US*0D2002C73,Shopping,Sale,-17.46,
