"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/07/2024","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","6.08","debit","Gym","Checking","",""
"1/05/2024","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","3.00","debit","Charity","Checking","",""
"1/05/2024","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","102.68","debit","Gym","Checking","",""
"1/04/2024","ACH TRANS - Mobile Deposit  ,010424,Check Dep","ACH TRANS - Mobile Deposit  ,010424,Check Dep","232.72","credit","Transfer","Checking","",""
"1/03/2024","ACH TRANS - ALLIANT CU      ;010224;XFER","ACH TRANS - ALLIANT CU      ;010224;XFER","675.00","debit","Transfer","Checking","",""
"1/03/2024","ACH TRANS - USAA P&C        ;010324;AUTOPAY","ACH TRANS - USAA P&C        ;010324;AUTOPAY","85.69","debit","Bills & Utilities","Checking","",""
"1/03/2024","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","12.03","debit","Music","Checking","",""
"1/01/2024","POS PURCH - GOOGLE *CLOUD 6S 5817               CA g.co/helppay#   GOOGLE *CLOUD 6SQZ2US","POS PURCH - GOOGLE *CLOUD 6S 5817               CA g.co/helppay#   GOOGLE *CLOUD 6SQZ2US","0.02","debit","Electronics & Software","Checking","",""
"1/01/2024","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","8.46","debit","Entertainment","Checking","",""
"12/31/2023","DIVIDEND","DIVIDEND","20.69","credit","Investments","Savings","",""
"12/31/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","5.86","debit","Gym","Checking","",""
"12/30/2023","POS PURCH - Audible*KE4PP5UU 5968               NJ Amzn.com/bill   Audible*KE4PP5UU3  US","POS PURCH - Audible*KE4PP5UU 5968               NJ Amzn.com/bill   Audible*KE4PP5UU3  US","16.37","debit","Books","Checking","",""
"12/28/2023","ACH TRANS - HCA Corporate   ;122923;PR PAYMENT","ACH TRANS - HCA Corporate   ;122923;PR PAYMENT","5046.04","credit","Paycheck","Checking","",""
"12/27/2023","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","17.51","debit","Entertainment","Checking","",""
"12/26/2023","ACH TRANS - CHASE CREDIT CRD;122623;AUTOPAY","ACH TRANS - CHASE CREDIT CRD;122623;AUTOPAY","2125.34","debit","Credit Card Payment","Checking","",""
"12/25/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","16.41","debit","Music","Checking","",""
"12/22/2023","P2P W/D - COINBASE         6051               CA https://www.f   COINBASE           US","P2P W/D - COINBASE         6051               CA https://www.f   COINBASE           US","250.00","debit","Cash & ATM","Checking","",""
"12/21/2023","JRNL ENTRY - IRA CLOSING FEE","JRNL ENTRY - IRA CLOSING FEE","25.00","debit","Fees & Charges","Savings","",""
"12/21/2023","W/D CHECK - WITHDRAWAL BY CHECK","W/D CHECK - WITHDRAWAL BY CHECK","37939.29","debit","Mortgage & Rent","Savings","",""
"12/18/2023","ACH TRANS - SELECT RWDS PYMT;121823;PAYMENT","ACH TRANS - SELECT RWDS PYMT;121823;PAYMENT","70.77","debit","Utilities","Checking","",""
"12/17/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","31.39","debit","Gym","Checking","",""
"12/16/2023","POS PURCH - METROPOLIS PARKI 7523               TN HTTPSWWW.METR   METROPOLIS PARKING US","POS PURCH - METROPOLIS PARKI 7523               TN HTTPSWWW.METR   METROPOLIS PARKING US","6.49","debit","Parking","Checking","",""
"12/14/2023","POS PURCH - GOOGLE *CLOUD HG 7399               CA g.co/helppay#   GOOGLE *CLOUD HGFV8US","POS PURCH - GOOGLE *CLOUD HG 7399               CA g.co/helppay#   GOOGLE *CLOUD HGFV8US","0.01","debit","Electronics & Software","Checking","",""
"12/10/2023","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","POS PURCH - Lucid Software I 4816               UT 844-4658243     Lucid Software Inc.US","36.05","debit","Electronics & Software","Checking","",""
"12/05/2023","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","POS PURCH - WWW.SAMHARRIS.OR 5815               CA HTTPSWWW.SAMH   WWW.SAMHARRIS.ORG  US","3.00","debit","Charity","Checking","",""
"12/05/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","92.86","debit","Gym","Checking","",""
"12/04/2023","ACH TRANS - USAA P&C        ;120423;AUTOPAY","ACH TRANS - USAA P&C        ;120423;AUTOPAY","113.92","debit","Bills & Utilities","Checking","",""
"12/04/2023","ACH TRANS - ALLIANT CU      ;120123;XFER","ACH TRANS - ALLIANT CU      ;120123;XFER","675.00","debit","Transfer","Checking","",""
"12/04/2023","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","POS PURCH - CLIMB NASHVILLE  7999               TN HTTPSTHECLIMB   CLIMB NASHVILLE EASUS","5.86","debit","Gym","Checking","",""
"12/03/2023","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","POS PURCH - Spotify USA      4899               NY 877-7781161     Spotify USA        US","12.03","debit","Music","Checking","",""
"12/01/2023","POS PURCH - Audible*Q01RV10Q 5968               NJ Amzn.com/bill   Audible*Q01RV10Q3  US","POS PURCH - Audible*Q01RV10Q 5968               NJ Amzn.com/bill   Audible*Q01RV10Q3  US","16.37","debit","Books","Checking","",""
"12/01/2023","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","POS PURCH - Patreon* Members 5815               CA Internet        Patreon* MembershipUS","8.46","debit","Entertainment","Checking","",""
"11/30/2023","DIVIDEND","DIVIDEND","19.90","credit","Investments","Savings","",""
"11/30/2023","DIVIDEND","DIVIDEND","31.02","credit","Investments","Savings","",""
"11/29/2023","ACH TRANS - HCA Corporate   ;113023;PR PAYMENT","ACH TRANS - HCA Corporate   ;113023;PR PAYMENT","4991.99","credit","Paycheck","Checking","",""
"11/27/2023","ACH TRANS - CHASE CREDIT CRD;112723;AUTOPAY","ACH TRANS - CHASE CREDIT CRD;112723;AUTOPAY","1262.86","debit","Credit Card Payment","Checking","",""
"11/27/2023","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","POS PURCH - HELP.MAX.COM     5815               NY MAX.COM         HELP.MAX.COM       US","17.51","debit","Entertainment","Checking","",""
"11/27/2023","ACH TRANS - VENMO           ,112723,CASHOUT","ACH TRANS - VENMO           ,112723,CASHOUT","993.17","credit","Transfer","Checking","",""
